e,edot,e_next,edot_next,dt
-2.48016262,-0.006067099,-2.480009437,-0.0060132695,0.007999999999995566
-2.480009437,-0.0060132695,-2.479846597,-0.005967353,0.007999999999995566
-2.479846597,-0.005967353,-2.479679778,-0.0058769765,0.007999999999995566
-2.479679778,-0.0058769765,-2.479517758,-0.005811232,0.007999999999995566
-2.479517758,-0.005811232,-2.4793607,-0.0057377233,0.007999999999995566
-2.4793607,-0.0057377233,-2.47920835,-0.00570425,0.007999999999995566
-2.47920835,-0.00570425,-2.479050338,-0.005702566,0.007999999999995566
-2.479050338,-0.005702566,-2.478897452,-0.005659979,0.007999999999995566
-2.478897452,-0.005659979,-2.478749588,-0.0056776595,0.007999999999995566
-2.478749588,-0.0056776595,-2.47860843,-0.005672258,0.007999999999995566
-2.47860843,-0.005672258,-2.478471935,-0.005640402,0.007999999999995566
-2.478471935,-0.005640402,-2.478324443,-0.0055812155,0.007999999999995566
-2.478324443,-0.0055812155,-2.478181422,-0.0055141672,0.007999999999995566
-2.478181422,-0.0055141672,-2.478043005,-0.0054929457,0.007999999999995566
-2.478043005,-0.0054929457,-2.477909148,-0.0054539074,0.007999999999995566
-2.477909148,-0.0054539074,-2.47776708,-0.0054767313,0.007999999999995566
-2.47776708,-0.0054767313,-2.477634683,-0.005472212,0.007999999999995566
-2.477634683,-0.005472212,-2.477506965,-0.0054826145,0.007999999999995566
-2.477506965,-0.0054826145,-2.477383703,-0.005455075,0.007999999999995566
-2.477383703,-0.005455075,-2.477254912,-0.0054175863,0.007999999999995566
-2.477254912,-0.0054175863,-2.477130547,-0.00540206,0.007999999999995566
-2.477130547,-0.00540206,-2.477010474,-0.005364897,0.007999999999995566
-2.477010474,-0.005364897,-2.47689429,-0.005294237,0.007999999999995566
-2.47689429,-0.005294237,-2.476759613,-0.005236812,0.007999999999995566
-2.476759613,-0.005236812,-2.476622656,-0.005174308,0.007999999999995566
-2.476622656,-0.005174308,-2.476490125,-0.0051453356,0.007999999999995566
-2.476490125,-0.0051453356,-2.476362184,-0.005147912,0.007999999999995566
-2.476362184,-0.005147912,-2.476210162,-0.005147283,0.007999999999995566
-2.476210162,-0.005147283,-2.476062998,-0.0050606774,0.007999999999995566
-2.476062998,-0.0050606774,-2.475920543,-0.0050384835,0.007999999999995566
-2.475920543,-0.0050384835,-2.475782543,-0.004965769,0.007999999999995566
-2.475782543,-0.004965769,-2.475614518,-0.004984247,0.007999999999995566
-2.475614518,-0.004984247,-2.475452095,-0.004935913,0.007999999999995566
-2.475452095,-0.004935913,-2.47529447,-0.004833127,0.007999999999995566
-2.47529447,-0.004833127,-2.475141346,-0.0047364817,0.007999999999995566
-2.475141346,-0.0047364817,-2.47497417,-0.004714404,0.007999999999995566
-2.47497417,-0.004714404,-2.474812225,-0.0046543134,0.007999999999995566
-2.474812225,-0.0046543134,-2.474655211,-0.0046091303,0.007999999999995566
-2.474655211,-0.0046091303,-2.474502861,-0.0044879653,0.007999999999995566
-2.474502861,-0.0044879653,-2.474339768,-0.0044391016,0.007999999999995566
-2.474339768,-0.0044391016,-2.474181816,-0.0044150334,0.007999999999995566
-2.474181816,-0.0044150334,-2.474028692,-0.0043443097,0.007999999999995566
-2.474028692,-0.0043443097,-2.473880157,-0.004287586,0.007999999999995566
-2.473880157,-0.004287586,-2.473736063,-0.004204957,0.007999999999995566
-2.473736063,-0.004204957,-2.473576203,-0.0041570887,0.007999999999995566
-2.473576203,-0.0041570887,-2.473421037,-0.00405594,0.007999999999995566
-2.473421037,-0.00405594,-2.473281533,-0.0040109754,0.007999999999995566
-2.473281533,-0.0040109754,-2.47314629,-0.003950784,0.007999999999995566
